key,en,ru,bel
product_scaling_desc,"Improve your product by refactoring out of date code, adding new features, and adjusting the product to present expectations.","Улучшайте свой продукт путем рефакторинга устаревшего кода, добавления новых функций и приведения продукта в соответствие с нынешними ожиданиями.","Паляпшае свой прадукт шляхам рэфактарынг састарэлага кода, дадання новых функцый і прывядзення прадукту ў адпаведнасць з цяперашнімі чаканнямі."
cooperation_models_title,"Cooperation models","Модели сотрудничества","Мадэлі супрацоўніцтва"
cooperation_models_desc,"The peculiarity of the Storks Solutions team is flexibility and fast speed in finding solutions. Based on the required results, the team can offer several options for cooperation.","Особенностью команды Storks Solutions является гибкость и быстрая скорость поиска решений. Исходя из требуемых результатов, команда может предложить несколько вариантов сотрудничества.","Асаблівасцю каманды Storks Solutions з'яўляецца гнуткасць і хуткая хуткасць пошуку рашэнняў. Зыходзячы з патрэбных вынікаў, каманда можа прапанаваць некалькі варыянтаў супрацоўніцтва."
staff_model_title,"Staff Augmentation Model","Модель расширения штата сотрудников","Мадэль пашырэння штата супрацоўнікаў"
staff_model_desc,"Expert software engineers join your existing team, working and communicating remotely, until project completion. You can bring on as many professionals as you need to achieve the right team size for your development efforts.","Эксперты-программисты присоединяются к вашей существующей команде, работая и общаясь удаленно до завершения проекта. Вы можете привлекать столько специалистов, сколько вам необходимо, чтобы достичь оптимального размера команды для вашей разработки.","Эксперты-праграмісты далучаюцца да вашай існуючай камандзе, працуючы і размаўляючы выдалена да завяршэння праекта. Вы можаце прыцягваць столькі спецыялістаў, колькі вам неабходна, каб дасягнуць аптымальнага памеру каманды для вашай распрацоўкі."
dedicated_model_title,"Dedicated Team Model","Модель специализированной команды","Мадэль спецыялізаванай каманды"
dedicated_model_desc,"The dedicated team model means you will work with an outside software development team. This option provides a management structure with hands-on supervision of the workflow and tasks.","Модель специализированной команды означает, что вы будете работать с внешней командой разработчиков программного обеспечения. Этот вариант предусматривает структуру управления с практическим контролем рабочего процесса и задач.","Мадэль спецыялізаванай каманды азначае, што вы будзеце працаваць з знешняй камандай распрацоўшчыкаў праграмнага забеспячэння. Гэты варыянт прадугледжвае структуру кіравання з практычным кантролем працоўнага працэсу і задач."
project_model_title,"Project Based Model","Проектно-ориентированная модель","Праектна-арыентаваная мадэль"
project_model_desc,"Our team will take care of the entire development process, from defining requirements to fully implementing your idea, setting deadlines, and quality testing. The company brings together the whole team, including the project manager.","Наша команда возьмет на себя весь процесс разработки, от определения требований до полной реализации вашей идеи, установления сроков и тестирования качества. Компания объединяет всю команду, включая менеджера проекта.","Наша каманда возьме на сябе ўвесь працэс распрацоўкі, ад вызначэння патрабаванняў да поўнай рэалізацыі вашай ідэі, ўстанаўлення тэрмінаў і тэставання якасці. Кампанія аб'ядноўвае ўсю каманду, уключаючы мэнэджэра праекта."
who_we_are_title,"Who we are?","Кто мы?","Хто мы?"
professional_team_title,"PROFESSIONAL TEAM","КОМАНДА ПРОФЕССИОНАЛОВ",	"КАМАНДА ПРАФЕСІЯНАЛАЎ"
professional_team_desc,"We have a highly professional team of engineers, developers, designers.","У нас работает высокопрофессиональная команда инженеров, разработчиков, дизайнеров.","У нас працуе высокапрафесійная каманда інжынераў, распрацоўшчыкаў, дызайнераў."
all_team_title,"All team","Вся команда","Уся каманда"
technology_stack_title,"Technology stack","Стек технологий","Стэк тэхналогій"
technology_stack_desc,"Our top-class software engineers harness all present-day programming languages and frameworks and cater to all requests related to software development projects of any complexity and technology stack.","Наши высококлассные инженеры-программисты используют все современные языки программирования и фреймворки и удовлетворяют все запросы, связанные с проектами по разработке программного обеспечения любой сложности и технологического стека.","Нашы высакакласныя інжынеры-праграмісты выкарыстоўваюць усе сучасныя мовы праграмавання і фреймворка і задавальняюць усе запыты, звязаныя з праектамі па распрацоўцы праграмнага забеспячэння любой складанасці і тэхналагічнага стэка."
frond_end,"FRONT END","FRONT END","FRONT END"
react,"React","React","React"
angular,"Angular","Angular","Angular"
javascript,"Javascript","Javascript","Javascript"
back_end,"BACK END","BACK END","BACK END"
java,"JAVA","JAVA","JAVA"
net,".NET",".NET",".NET"
nodejs,"NODE.JS","NODE.JS","NODE.JS"
php,"PHP","PHP","PHP"
mobile,"MOBILE","MOBILE","MOBILE"
ios,"IOS","IOS","IOS"
android,"ANDROID","ANDROID","ANDROID"
flutter,"FLUTTER","FLUTTER","FLUTTER"
react_native,"REACT NATIVE","REACT NATIVE","REACT NATIVE"
need_solution_title,"Need a technological solution?","Вам нужно технологическое решение?","Вам трэба тэхналагічнае рашэнне?"
contact_us_title,"Contact us!","Свяжитесь с нами!","Звяжыцеся з намі!"
name_field,"Name","Имя","Імя"
company_field,"Company","Компания","Кампанія"
corporate_email_field,"Corporate email","Корпоративный e-mail","Карпаратыўны e-mail"
subject_field,"Subject","Тема","Тэма"
additional_field,"Additional information","Дополнительная информация","Дадатковая інфармацыя"
upload_file_field,"Upload File","Загрузить файл","Загрузіць файл"
send_desc,"Please be informed that when you click the 'Send' button Stork Solutions  will process your personal data.","Пожалуйста, имейте в виду, что когда вы нажмете кнопку 'Отправить', Stork Solutions обработает ваши персональные данные.","Калі ласка, майце на ўвазе, што калі вы націснеце кнопку 'Адправіць', Stork Solutions апрацуе вашыя персанальныя дадзеныя."
send_button,"Send","Отправить","Aдаслаць"
get_started,"Get started","Начать","Пачаць"
digital_solutions,"Digital solutions","Цифровые решения","Лічбавыя рашэнні"
fast,"fast","быстро","хутка"
and,"and","и","i"
easy,"easy","легко","лёгкa"
welcome_desc,"We will conduct business consulting in a short time and offer the best solutions","Проведем бизнес-консалтинг в короткие сроки и предложить лучшие решения","Правядзем бізнес-кансультацыі у кароткія тэрміны і прапанаваць лепшыя рашэнні"
average_experience,"Average experience","Средний опыт","Сярэдні стаж"
team_members,"Team-members","Члены команды","Члены каманды"
embrace_technologies,"Embrace technologies","Охвачено технологий","Aхоплена тэхналогій"
projects_completed,"Projects completed","Завершенных проектов","Праекты завершаны"
footer_rules,"© 2023 Storks Solutions. All Rights Reserved.","© 2023 Storks Solutions. Все права защищены.","© 2023 Storks Solutions. Усе правы ахоўваюцца."
footer_address,"Stefana Okrzei 1A/10P, 03-715 Warsaw, Poland","Stefana Okrzei 1A/10P, 03-715 Варшава, Польша","Stefana Okrzei 1A/10P, 03-715 Варшава, Польшча"
specialists,"Specialists","Специалисты","Спецыялісты"

sprint_action,"Sprint action","Действия спринта","Дзеяннe спрынту"
requirement_elicitation_title,"Requirement elicitation","Выяснение требований","Высвятленне патрабаванняў"
requirement_elicitation_desc,"We collect all functional requirements and provide rough estimates, costs, and scope.","Мы собираем все функциональные требования и предоставляем приблизительную смету, стоимость и объем работ.","Мы збіраем усе функцыянальныя патрабаванні і даем прыблізную каштарыс, кошт і аб'ём работ."
contract_negotiation_title,"Contract negotiation","Переговоры по контракту","Перамовы па кантракце"
contract_negotiation_desc,"We discuss all the contract terms, setting the cooperation and pricing models.","Мы обсуждаем все условия контракта, устанавливаем модели сотрудничества и ценообразования.","Мы абмяркоўваем усе ўмовы кантракту, усталёўваем мадэлі супрацоўніцтва і цэнаўтварэння."
design_prototyping_title,"Design and prototyping","Дизайн и создание прототипов","Дызайн і стварэнне прататыпаў"
design_prototyping_desc,"The team works on the concept of the solution and provides a visual representation.","Команда работает над концепцией решения и создает визуальное представление.","Каманда працуе над канцэпцыяй рашэння і стварае візуальнае ўяўленне."
architecture_building_title,"Architecture building","Создание архитектуры","Стварэнне архітэктуры"
architecture_building_desc,"The team offers an optimal architectural solution that will be easily expanded in the future.","Команда предлагает оптимальное архитектурное решение, которое в будущем можно будет легко расширить.","Каманда прапануе аптымальнае архітэктурнае рашэнне, якое ў будучыні можна будзе лёгка пашырыць."
iteration_grooming_title,"Iteration grooming","Анализ итераций","Аналіз ітэрацый"
iteration_grooming_desc,"The team participates in the process of discussions, explanations, clarifications of a future feature or product","Команда участвует в процессе обсуждения, разъяснения, уточнения будущей функции или продукта","Каманда ўдзельнічае ў працэсе абмеркавання, тлумачэнні, удакладнення будучай функцыі або прадукту"
iteration_planning_title,"Iteration planning","Планирование итераций","Планаванне ітэрацый"
iteration_planning_desc,"The team makes a division of stories and tasks for optimal iterations for continuous implementation and delivery.","Команда производит разделение историй и задач на оптимальные итерации для непрерывной реализации и доставки.","Каманда вырабляе падзел гісторый і задач на аптымальныя ітэрацыі для бесперапыннай рэалізацыі і дастаўкі."
daily_meeting_title,"Daily meeting","Ежедневные митинги","Штодзённыя мітынгі"
daily_meeting_desc,"Team members report progress daily. In case of questions, they receive a quick answer and continue development.","Члены команды ежедневно отчитываются о проделанной работе. В случае возникновения вопросов они получают быстрый ответ и продолжают разработку.","Члены каманды штодня даюць справаздачу аб праведзенай працы. У выпадку ўзнікнення пытанняў яны атрымліваюць хуткі адказ і працягваюць распрацоўку."
coding_title,"Coding","Написание кода","Напiсанне коду"
coding_desc,"Developers implement software code according to existing requirements.","Разработчики реализуют программный код в соответствии с существующими требованиями.","Распрацоўшчыкі рэалізуюць праграмны код у адпаведнасці з існуючымі патрабаваннямі."
unit_testing_title,"Unit testing","Модульное тестирование","Модульнае тэставанне"
unit_testing_desc,"Developers cover new functionality with tests to ensure the high quality of the product.","Разработчики покрывают новую функциональность тестами, чтобы обеспечить высокое качество продукта.","Распрацоўшчыкі пакрываюць новую функцыянальнасць тэстамі, каб забяспечыць высокую якасць прадукту."
quality_assurance_title,"Quality assurance","Обеспечение качества","Забеспячэнне якасці"
quality_assurance_desc,"QA engineers conduct checks for correctness, absence of errors, compliance with the requirements of the developed features.","Инженеры QA проводят проверки на корректность, отсутствие ошибок, соответствие требованиям разработанных функций.","Інжынеры QA праводзяць праверкі на карэктнасць, адсутнасць памылак, адпаведнасць патрабаванням распрацаваных функцый."
solution_deployment_title,"Solution deployment","Развертывание решений","Разгортванне рашэнняў"
solution_deployment_desc,"DevOps engineers implement continuous integration, deployment and delivery processes.Each subsequent iteration of deployment and delivery will be automated.","Инженеры DevOps внедряют процессы непрерывной интеграции, развертывания и доставки. Каждая последующая итерация развертывания и доставки будет автоматизирована.","Інжынеры DevOps ўкараняюць працэсы бесперапыннай інтэграцыі, разгортвання і дастаўкі. Кожная наступная ітэрацыя разгортвання і дастаўкі будзе аўтаматызавана."
maintenance_support_title,"Maintenance and support","Обслуживание и поддержка","Абслугоўванне і падтрымка"
maintenance_support_desc,"Our team guarantees the quality of the developed product and is ready to support it in the future.","Наша команда гарантирует качество разработанного продукта и готова поддерживать его в будущем.","Наша каманда гарантуе якасць распрацаванага прадукту і гатовая падтрымліваць яго ў будучыні."
